link,clients,bytes_per_burst,offered_mbps,rx_mbps,sink_mbps,delay_mean_ms,delay_p50_ms,delay_p95_ms,delay_p99_ms,delay_max_ms,jitter_mean_ms,rx_packets,delay_rx_packets,active_flows,connected,total,connect_failures,warnings,json
wifi-only,4,8388608,268.435456,268.435456,285.93168,80.102902,71.07576,127.911406,138.813504,142.035368,7.724298,24,24,4,4,4,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/capacity-probe-2026-05-04/n004-b8388608/default-wifi-only-stream1-10s.json
wifi-only,4,16777216,536.870912,536.870912,561.428521,205.344592,169.982778,336.825802,349.679614,353.492364,17.466312,24,24,4,4,4,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/capacity-probe-2026-05-04/n004-b16777216/default-wifi-only-stream1-10s.json
wifi-only,8,4194304,268.435456,268.435456,272.383009,35.820515,31.114945,58.40772,61.318971,62.798591,3.168069,48,48,8,8,8,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/capacity-probe-2026-05-04/n008-b4194304/default-wifi-only-stream1-10s.json
wifi-only,8,8388608,536.870912,536.870912,544.722738,86.883597,71.207393,144.438294,152.506651,155.889455,7.831805,48,48,8,8,8,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/capacity-probe-2026-05-04/n008-b8388608/default-wifi-only-stream1-10s.json
wifi-only,8,16777216,1073.741824,1073.741824,1078.782035,205.011884,198.586041,322.951231,349.427258,367.221245,21.747708,48,48,8,8,8,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/capacity-probe-2026-05-04/n008-b16777216/default-wifi-only-stream1-10s.json
wifi-only,15,4194304,503.31648,503.31648,514.159788,95.919705,73.974198,208.527,271.461368,279.796556,21.045458,90,90,15,15,15,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/capacity-probe-2026-05-04/n015-b4194304/default-wifi-only-stream1-10s.json
wifi-only,15,6291456,754.97472,754.97472,771.227004,166.445013,158.146544,332.788139,373.225363,424.140979,23.865117,90,90,15,15,15,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/capacity-probe-2026-05-04/n015-b6291456/default-wifi-only-stream1-10s.json
wifi-only,15,8388608,1006.63296,984.263339,1017.989636,323.163344,354.914463,546.496355,773.932888,852.799167,75.061953,88,88,15,15,15,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/capacity-probe-2026-05-04/n015-b8388608/default-wifi-only-stream1-10s.json
wifi-only,30,4194304,1006.63296,978.670933,990.771911,233.125033,203.431318,451.362996,517.437189,600.689792,61.218625,175,175,30,30,30,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/capacity-probe-2026-05-04/n030-b4194304/default-wifi-only-stream1-10s.json
wifi-only,30,6291456,1509.94944,956.301312,1064.809409,1262.851309,1096.482012,2533.811556,3549.955829,4251.197044,513.52075,111,111,27,30,30,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/capacity-probe-2026-05-04/n030-b6291456/default-wifi-only-stream1-10s.json
wifi-only,30,8388608,2013.26592,928.339285,1115.191767,1683.336343,1260.482768,4551.621755,6440.196501,6764.103646,547.086471,79,79,27,30,30,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/capacity-probe-2026-05-04/n030-b8388608/default-wifi-only-stream1-10s.json
