link,clients,bytes_per_burst,offered_mbps,rx_mbps,sink_mbps,delay_mean_ms,delay_p50_ms,delay_p95_ms,delay_p99_ms,delay_max_ms,jitter_mean_ms,rx_packets,delay_rx_packets,active_flows,connected,total,connect_failures,warnings,json
nr-only,1,32,0.000256,0.000256,0.000285,3.250268,3.250268,3.250268,3.250268,3.250268,0.0,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/nr-small-check/n001-b32/default-nr-only-stream1-10s.json
nr-only,1,64,0.000512,0.000512,0.000569,17.000346,17.000346,17.000346,17.000346,17.000346,0.0,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/nr-small-check/n001-b64/default-nr-only-stream1-10s.json
nr-only,1,128,0.001024,0.001024,0.001139,3.250499,3.250499,3.250499,3.250499,3.250499,0.0,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/nr-small-check/n001-b128/default-nr-only-stream1-10s.json
nr-only,1,256,0.002048,0.002048,0.002278,3.250808,3.250808,3.250808,3.250808,3.250808,0.0,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/nr-small-check/n001-b256/default-nr-only-stream1-10s.json
nr-only,1,512,0.004096,0.004096,0.004555,3.25142,3.25142,3.25142,3.25142,3.25142,0.0,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/nr-small-check/n001-b512/default-nr-only-stream1-10s.json
nr-only,1,1024,0.008192,0.008192,0.009111,3.25265,3.25265,3.25265,3.25265,3.25265,0.0,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/nr-small-check/n001-b1024/default-nr-only-stream1-10s.json
nr-only,1,2048,0.016384,0.016384,0.018222,3.25419,3.25419,3.25419,3.25419,3.25419,0.0,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/nr-small-check/n001-b2048/default-nr-only-stream1-10s.json
