scenario,result,mptcp_scheduler,scope,priority,expected_flows,active_flows,delay_active_flows,rx_packets,delay_rx_packets,throughput_mbps,delay_ms_mean,delay_ms_p50,delay_ms_p95,delay_ms_p99,delay_ms_p999,delay_ms_max,peak_delay_ms_mean,peak_delay_ms_p50,peak_delay_ms_p95,peak_delay_ms_p99,peak_delay_ms_p999,peak_delay_ms_max,jitter_ms_mean,jitter_ms_p50,jitter_ms_p95,jitter_ms_p99,jitter_ms_p999,jitter_ms_max,nr_share_pct,wifi_share_pct
p3-sub-peak-2,roundrobin,roundrobin,priority,3,13,13,11,78,66,303.168,5.430296,3.495674,17.217953,17.23581,17.23581,17.23581,187.670804,174.280647,221.78419,221.788377,221.789319,221.789424,2.014167,0.001233,12.238366,12.823234,13.412923,13.478444,45.187706,54.812294
p3-sub-peak-2,wifi-only,default,overall,overall,30,30,28,179,167,304.764,2.19361,1.787105,5.673738,10.214883,11.848995,12.094799,109.623651,107.94975,119.336673,124.343827,125.470436,125.595615,0.274135,0.006,1.299812,5.293975,6.183364,6.314972,0.0,100.0
p3-sub-peak-2,wifi-only,default,priority,1,6,6,6,35,35,0.21,0.729776,0.584765,1.643929,2.038771,2.138234,2.149286,0.0,0.0,0.0,0.0,0.0,0.0,0.077025,0.003093,0.46941,0.856686,0.978136,0.99163,0.0,100.0
p3-sub-peak-2,wifi-only,default,priority,2,11,11,11,66,66,1.386,1.795281,1.784263,1.789833,2.142512,2.164522,2.166968,0.0,0.0,0.0,0.0,0.0,0.0,0.030629,0.003406,0.349087,0.383854,0.385312,0.385474,0.0,100.0
p3-sub-peak-2,wifi-only,default,priority,3,13,13,11,78,66,303.168,3.368216,2.314026,8.229699,11.132312,11.99855,12.094799,109.623651,107.94975,119.336673,124.343827,125.470436,125.595615,0.621573,0.087,4.269405,5.799985,6.263473,6.314972,0.0,100.0
p3-sub-peak-2,nr-only,default,overall,overall,30,30,28,180,168,304.77,8.756694,8.485384,13.064687,24.73533,24.73533,24.73533,408.993062,408.756299,414.396324,414.505239,414.529745,414.532468,0.321768,0.0,1.017857,11.849049,12.475576,12.512637,100.0,0.0
p3-sub-peak-2,nr-only,default,priority,1,6,6,6,36,36,0.216,3.369396,3.372372,3.470587,3.470587,3.470587,3.470587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
p3-sub-peak-2,nr-only,default,priority,2,11,11,11,66,66,1.386,8.475411,8.467527,8.485384,9.361826,10.826735,10.989503,0.0,0.0,0.0,0.0,0.0,0.0,0.045908,0.0,0.000445,1.160911,2.385869,2.521976,100.0,0.0
p3-sub-peak-2,nr-only,default,priority,3,13,13,11,78,66,303.168,11.976503,9.972693,23.717473,24.73533,24.73533,24.73533,408.993062,408.756299,414.396324,414.505239,414.529745,414.532468,0.773137,0.0,4.930947,12.36866,12.498239,12.512637,100.0,0.0
p3-sub-peak-4,default,default,overall,overall,30,30,26,180,156,604.194,1.788666,0.628941,5.798782,18.483104,18.485391,18.48581,179.225914,171.792804,196.97793,292.464263,318.124554,320.975698,0.697756,0.00306,2.772741,14.319537,17.123024,17.50261,22.243922,77.756078
