Time	IMSI	SINR (dB)
1.508	2	1	0	109696	0
1.5205	2	1	0	75661.7	0
1.5355	2	1	0	78920.5	0
1.548	2	1	0	77558	0
1.5505	2	1	0	78102.3	0
1.55093	2	1	0	78855.2	0
1.563	2	1	0	78102.3	0
1.66346	2	1	0	80886.9	0
1.76346	2	1	0	67891.6	0
1.77846	2	1	0	72908.3	0
1.793	2	1	0	78102.3	0
1.89346	2	1	0	74734	0
1.9055	2	1	0	77558	0
1.908	2	1	0	79804	0
1.9155	2	1	0	77558	0
1.918	2	1	0	78855.2	0
1.9205	2	1	0	75661.7	0
1.92096	2	1	0	77558	0
1.9305	2	1	0	80886.9	0
1.9455	2	1	0	78855.2	0
1.94596	2	1	0	77558	0
1.9605	2	1	0	71841.2	0
1.96096	2	1	0	71936.2	0
1.9755	2	1	0	71841.2	0
1.97596	2	1	0	71936.2	0
1.9905	2	1	0	71841.2	0
1.99096	2	1	0	71936.2	0
2.0055	2	1	0	86485	0
2.02096	2	1	0	83973.6	0
2.0355	2	1	0	71841.2	0
2.03596	2	1	0	79383.2	0
2.048	2	1	0	79383.2	0
2.0505	2	1	0	71841.2	0
2.058	2	1	0	75661.7	0
2.0605	2	1	0	75661.7	0
2.0705	2	1	0	109696	0
2.07096	2	1	0	109696	0
2.073	2	1	0	71841.2	0
2.07346	2	1	0	71936.2	0
2.0855	2	1	0	78855.2	0
2.08596	2	1	0	71936.2	0
2.098	2	1	0	109696	0
2.09846	2	1	0	109696	0
2.1005	2	1	0	71841.2	0
2.10093	2	1	0	79383.2	0
2.1105	2	1	0	109696	0
2.11096	2	1	0	109696	0
2.113	2	1	0	71841.2	0
2.11346	2	1	0	79383.2	0
2.123	2	1	0	109696	0
2.12346	2	1	0	109696	0
2.12596	2	1	0	78920.5	0
2.138	2	1	0	78855.2	0
2.13846	2	1	0	79383.2	0
2.15346	2	1	0	78102.3	0
2.168	2	1	0	78855.2	0
2.16846	2	1	0	75661.7	0
2.18346	2	1	0	79804	0
2.1955	2	1	0	109696	0
2.19596	2	1	0	109696	0
2.198	2	1	0	71841.2	0
2.2005	2	1	0	75661.7	0
2.208	2	1	0	79383.2	0
2.2105	2	1	0	71841.2	0
2.21346	2	1	0	71936.2	0
2.218	2	1	0	71936.2	0
2.22096	2	1	0	71841.2	0
2.223	2	1	0	79383.2	0
2.23346	2	1	0	78920.5	0
2.23846	2	1	0	79383.2	0
2.243	2	1	0	109696	0
2.2455	2	1	0	71841.2	0
2.24596	2	1	0	71841.2	0
2.25846	2	1	0	80886.9	0
2.2705	2	1	0	109696	0
2.27096	2	1	0	109696	0
2.2755	2	1	0	78102.3	0
2.283	2	1	0	109696	0
2.28346	2	1	0	109696	0
2.28846	2	1	0	78855.2	0
2.2905	2	1	0	71841.2	0
2.293	2	1	0	77558	0
2.29346	2	1	0	77558	0
2.2955	2	1	0	77558	0
2.3005	2	1	0	75661.7	0
2.30093	2	1	0	83973.6	0
2.303	2	1	0	77558	0
2.3155	2	1	0	71841.2	0
2.31596	2	1	0	71841.2	0
2.3555	2	1	0	109696	0
2.42346	2	1	0	72147.5	0
2.438	2	1	0	77137.7	0
2.453	2	1	0	71841.2	0
2.45346	2	1	0	71936.2	0
2.46846	2	1	0	86485	0
2.483	2	1	0	71841.2	0
2.48346	2	1	0	71936.2	0
2.498	2	1	0	71841.2	0
2.49846	2	1	0	71936.2	0
2.513	2	1	0	71841.2	0
2.51346	2	1	0	71936.2	0
2.5255	2	1	0	71936.2	0
2.528	2	1	0	71841.2	0
2.5355	2	1	0	79383.2	0
2.538	2	1	0	79383.2	0
2.5405	2	1	0	77558	0
2.543	2	1	0	77558	0
2.548	2	1	0	78855.2	0
2.5505	2	1	0	77558	0
2.553	2	1	0	109696	0
2.55346	2	1	0	77558	0
2.5555	2	1	0	109696	0
2.55596	2	1	0	109696	0
2.558	2	1	0	109696	0
2.5605	2	1	0	71841.2	0
2.56096	2	1	0	71936.2	0
2.563	2	1	0	109696	0
2.56346	2	1	0	109696	0
2.56596	2	1	0	109696	0
2.568	2	1	0	109696	0
2.57346	2	1	0	83973.6	0
2.6105	2	1	0	109696	0
2.6755	2	1	0	75260.1	0
2.6905	2	1	0	83973.6	0
2.703	2	1	0	109696	0
2.70346	2	1	0	109696	0
2.7055	2	1	0	75661.7	0
2.713	2	1	0	109696	0
2.71346	2	1	0	109696	0
2.718	2	1	0	75661.7	0
2.7255	2	1	0	77558	0
2.73096	2	1	0	75661.7	0
2.7355	2	1	0	77558	0
2.738	2	1	0	77558	0
2.74096	2	1	0	79383.2	0
2.7455	2	1	0	71936.2	0
2.74846	2	1	0	109696	0
2.753	2	1	0	71841.2	0
2.758	2	1	0	109696	0
2.7605	2	1	0	109696	0
2.76096	2	1	0	109696	0
2.76596	2	1	0	78855.2	0
2.7705	2	1	0	109696	0
2.77096	2	1	0	77558	0
2.773	2	1	0	77558	0
2.778	2	1	0	79383.2	0
2.77846	2	1	0	71936.2	0
2.783	2	1	0	77558	0
2.78346	2	1	0	71936.2	0
2.7855	2	1	0	77558	0
2.7905	2	1	0	71841.2	0
2.793	2	1	0	109696	0
2.79346	2	1	0	109696	0
2.79596	2	1	0	109696	0
2.79846	2	1	0	109696	0
2.803	2	1	0	78855.2	0
2.80346	2	1	0	109696	0
2.808	2	1	0	109696	0
2.80846	2	1	0	109696	0
2.8105	2	1	0	109696	0
2.81596	2	1	0	78855.2	0
2.918	2	1	0	76537.1	0
2.933	2	1	0	86485	0
2.948	2	1	0	75661.7	0
2.963	2	1	0	75661.7	0
2.978	2	1	0	75661.7	0
2.993	2	1	0	75661.7	0
3.008	2	1	0	71841.2	0
3.0205	2	1	0	109696	0
3.023	2	1	0	75661.7	0
3.0305	2	1	0	109696	0
3.033	2	1	0	109696	0
3.03346	2	1	0	109696	0
3.0355	2	1	0	75661.7	0
3.038	2	1	0	109696	0
3.0405	2	1	0	109696	0
3.043	2	1	0	109696	0
3.04346	2	1	0	109696	0
3.0455	2	1	0	109696	0
3.04596	2	1	0	109696	0
3.048	2	1	0	71936.2	0
3.04846	2	1	0	109696	0
3.053	2	1	0	77558	0
3.05346	2	1	0	77558	0
3.0555	2	1	0	71936.2	0
3.06846	2	1	0	78855.2	0
3.08346	2	1	0	78102.3	0
3.0955	2	1	0	71936.2	0
3.098	2	1	0	79383.2	0
3.1055	2	1	0	109696	0
3.11846	2	1	0	109696	0
3.618	2	1	0	109696	0
4.58096	2	1	0	109696	0
